1-Wire/iButton Part Number: DS2422
1-Wire/iButton Registration Number: C5000000811EA541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Aug 26 14:20:01 EDT 2025
Mission Sample Count:  4665
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 26 14:20:01 EDT 2025
Total Mission Samples:  4665
Total Device Samples:  13852
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/26/25 2:20:01 PM,C,19.5
8/26/25 2:30:01 PM,C,19.5
8/26/25 2:40:01 PM,C,19.5
8/26/25 2:50:01 PM,C,19.5
8/26/25 3:00:01 PM,C,19.5
8/26/25 3:10:01 PM,C,19.5
8/26/25 3:20:01 PM,C,19.5
8/26/25 3:30:01 PM,C,19.5
8/26/25 3:40:01 PM,C,19.5
8/26/25 3:50:01 PM,C,19.5
8/26/25 4:00:01 PM,C,19.5
8/26/25 4:10:01 PM,C,19.5
8/26/25 4:20:01 PM,C,19.5
8/26/25 4:30:01 PM,C,19.5
8/26/25 4:40:01 PM,C,19.5
8/26/25 4:50:01 PM,C,19.5
8/26/25 5:00:01 PM,C,19.5
8/26/25 5:10:01 PM,C,20
8/26/25 5:20:01 PM,C,19.5
8/26/25 5:30:01 PM,C,19.5
8/26/25 5:40:01 PM,C,19.5
8/26/25 5:50:01 PM,C,19.5
8/26/25 6:00:01 PM,C,19.5
8/26/25 6:10:01 PM,C,19.5
8/26/25 6:20:01 PM,C,19.5
8/26/25 6:30:01 PM,C,19.5
8/26/25 6:40:01 PM,C,19.5
8/26/25 6:50:01 PM,C,19.5
8/26/25 7:00:01 PM,C,19.5
8/26/25 7:10:01 PM,C,19.5
8/26/25 7:20:01 PM,C,19.5
8/26/25 7:30:01 PM,C,19.5
8/26/25 7:40:01 PM,C,19
8/26/25 7:50:01 PM,C,19.5
8/26/25 8:00:01 PM,C,19.5
8/26/25 8:10:01 PM,C,19.5
8/26/25 8:20:01 PM,C,19.5
8/26/25 8:30:01 PM,C,19
8/26/25 8:40:01 PM,C,19.5
8/26/25 8:50:01 PM,C,19.5
8/26/25 9:00:01 PM,C,19
8/26/25 9:10:01 PM,C,19
8/26/25 9:20:01 PM,C,19
8/26/25 9:30:01 PM,C,19
8/26/25 9:40:01 PM,C,19
8/26/25 9:50:01 PM,C,19
8/26/25 10:00:01 PM,C,19
8/26/25 10:10:01 PM,C,19
8/26/25 10:20:01 PM,C,18.5
8/26/25 10:30:01 PM,C,18
8/26/25 10:40:01 PM,C,18
8/26/25 10:50:01 PM,C,17.5
8/26/25 11:00:01 PM,C,17
8/26/25 11:10:01 PM,C,17
8/26/25 11:20:01 PM,C,17
8/26/25 11:30:01 PM,C,17
8/26/25 11:40:01 PM,C,17
8/26/25 11:50:01 PM,C,16.5
8/27/25 12:00:01 AM,C,16.5
8/27/25 12:10:01 AM,C,16.5
8/27/25 12:20:01 AM,C,16.5
8/27/25 12:30:01 AM,C,16
8/27/25 12:40:01 AM,C,16.5
8/27/25 12:50:01 AM,C,16.5
8/27/25 1:00:01 AM,C,16
8/27/25 1:10:01 AM,C,16.5
8/27/25 1:20:01 AM,C,16
8/27/25 1:30:01 AM,C,16
8/27/25 1:40:01 AM,C,16
8/27/25 1:50:01 AM,C,16
8/27/25 2:00:01 AM,C,16
8/27/25 2:10:01 AM,C,16
8/27/25 2:20:01 AM,C,16.5
8/27/25 2:30:01 AM,C,16
8/27/25 2:40:01 AM,C,16
8/27/25 2:50:01 AM,C,16
8/27/25 3:00:01 AM,C,16
8/27/25 3:10:01 AM,C,16
8/27/25 3:20:01 AM,C,16
8/27/25 3:30:01 AM,C,16
8/27/25 3:40:01 AM,C,16
8/27/25 3:50:01 AM,C,16
8/27/25 4:00:01 AM,C,16
8/27/25 4:10:01 AM,C,16
8/27/25 4:20:01 AM,C,16
8/27/25 4:30:01 AM,C,16
8/27/25 4:40:01 AM,C,16
8/27/25 4:50:01 AM,C,16
8/27/25 5:00:01 AM,C,16
8/27/25 5:10:01 AM,C,16
8/27/25 5:20:01 AM,C,16
8/27/25 5:30:01 AM,C,16
8/27/25 5:40:01 AM,C,16
8/27/25 5:50:01 AM,C,16
8/27/25 6:00:01 AM,C,16
8/27/25 6:10:01 AM,C,16
8/27/25 6:20:01 AM,C,16.5
8/27/25 6:30:01 AM,C,16.5
8/27/25 6:40:01 AM,C,16.5
8/27/25 6:50:01 AM,C,17
8/27/25 7:00:01 AM,C,17
8/27/25 7:10:01 AM,C,17.5
8/27/25 7:20:01 AM,C,17.5
8/27/25 7:30:01 AM,C,17.5
8/27/25 7:40:01 AM,C,18
8/27/25 7:50:01 AM,C,18
8/27/25 8:00:01 AM,C,18
8/27/25 8:10:01 AM,C,18
8/27/25 8:20:01 AM,C,18
8/27/25 8:30:01 AM,C,18
8/27/25 8:40:01 AM,C,18
8/27/25 8:50:01 AM,C,18.5
8/27/25 9:00:01 AM,C,18.5
8/27/25 9:10:01 AM,C,18.5
8/27/25 9:20:01 AM,C,18.5
8/27/25 9:30:01 AM,C,18.5
8/27/25 9:40:01 AM,C,18.5
8/27/25 9:50:01 AM,C,18.5
8/27/25 10:00:01 AM,C,18.5
8/27/25 10:10:01 AM,C,18.5
8/27/25 10:20:01 AM,C,18.5
8/27/25 10:30:01 AM,C,19
8/27/25 10:40:01 AM,C,18.5
8/27/25 10:50:01 AM,C,19
8/27/25 11:00:01 AM,C,19
8/27/25 11:10:01 AM,C,18.5
8/27/25 11:20:01 AM,C,19
8/27/25 11:30:01 AM,C,19
8/27/25 11:40:01 AM,C,19
8/27/25 11:50:01 AM,C,19
8/27/25 12:00:01 PM,C,19
8/27/25 12:10:01 PM,C,19
8/27/25 12:20:01 PM,C,19
8/27/25 12:30:01 PM,C,19
8/27/25 12:40:01 PM,C,19
8/27/25 12:50:01 PM,C,19
8/27/25 1:00:01 PM,C,19
8/27/25 1:10:01 PM,C,19
8/27/25 1:20:01 PM,C,19
8/27/25 1:30:01 PM,C,19
8/27/25 1:40:01 PM,C,19
8/27/25 1:50:01 PM,C,19
8/27/25 2:00:01 PM,C,19
8/27/25 2:10:01 PM,C,19
8/27/25 2:20:01 PM,C,19
8/27/25 2:30:01 PM,C,19
8/27/25 2:40:01 PM,C,19
8/27/25 2:50:01 PM,C,19
8/27/25 3:00:01 PM,C,19
8/27/25 3:10:01 PM,C,19
8/27/25 3:20:01 PM,C,19
8/27/25 3:30:01 PM,C,19
8/27/25 3:40:01 PM,C,19
8/27/25 3:50:01 PM,C,19
8/27/25 4:00:01 PM,C,19
8/27/25 4:10:01 PM,C,19
8/27/25 4:20:01 PM,C,19
8/27/25 4:30:01 PM,C,19
8/27/25 4:40:01 PM,C,19
8/27/25 4:50:01 PM,C,19
8/27/25 5:00:01 PM,C,19
8/27/25 5:10:01 PM,C,19
8/27/25 5:20:01 PM,C,19
8/27/25 5:30:01 PM,C,19
8/27/25 5:40:01 PM,C,19
8/27/25 5:50:01 PM,C,19
8/27/25 6:00:01 PM,C,19
8/27/25 6:10:01 PM,C,19
8/27/25 6:20:01 PM,C,19
8/27/25 6:30:01 PM,C,19
8/27/25 6:40:01 PM,C,19
8/27/25 6:50:01 PM,C,19
8/27/25 7:00:01 PM,C,19
8/27/25 7:10:01 PM,C,19
8/27/25 7:20:01 PM,C,19
8/27/25 7:30:01 PM,C,19
8/27/25 7:40:01 PM,C,19
8/27/25 7:50:01 PM,C,19
8/27/25 8:00:01 PM,C,19
8/27/25 8:10:01 PM,C,19
8/27/25 8:20:01 PM,C,19
8/27/25 8:30:01 PM,C,19
8/27/25 8:40:01 PM,C,19
8/27/25 8:50:01 PM,C,19
8/27/25 9:00:01 PM,C,19
8/27/25 9:10:01 PM,C,19
8/27/25 9:20:01 PM,C,19
8/27/25 9:30:01 PM,C,19
8/27/25 9:40:01 PM,C,19
8/27/25 9:50:01 PM,C,19
8/27/25 10:00:01 PM,C,19
8/27/25 10:10:01 PM,C,18.5
8/27/25 10:20:01 PM,C,18.5
8/27/25 10:30:01 PM,C,18
8/27/25 10:40:01 PM,C,17.5
8/27/25 10:50:01 PM,C,17.5
8/27/25 11:00:01 PM,C,17
8/27/25 11:10:01 PM,C,17
8/27/25 11:20:01 PM,C,16.5
8/27/25 11:30:01 PM,C,16.5
8/27/25 11:40:01 PM,C,17
8/27/25 11:50:01 PM,C,16.5
8/28/25 12:00:01 AM,C,16.5
8/28/25 12:10:01 AM,C,16.5
8/28/25 12:20:01 AM,C,16
8/28/25 12:30:01 AM,C,16.5
8/28/25 12:40:01 AM,C,16.5
8/28/25 12:50:01 AM,C,16.5
8/28/25 1:00:01 AM,C,16
8/28/25 1:10:01 AM,C,16
8/28/25 1:20:01 AM,C,16.5
8/28/25 1:30:01 AM,C,16
8/28/25 1:40:01 AM,C,16.5
8/28/25 1:50:01 AM,C,16
8/28/25 2:00:01 AM,C,16
8/28/25 2:10:01 AM,C,16
8/28/25 2:20:01 AM,C,16
8/28/25 2:30:01 AM,C,16
8/28/25 2:40:01 AM,C,16
8/28/25 2:50:01 AM,C,16
8/28/25 3:00:01 AM,C,16
8/28/25 3:10:01 AM,C,16
8/28/25 3:20:01 AM,C,16
8/28/25 3:30:01 AM,C,16
8/28/25 3:40:01 AM,C,16
8/28/25 3:50:01 AM,C,16
8/28/25 4:00:01 AM,C,16
8/28/25 4:10:01 AM,C,16
8/28/25 4:20:01 AM,C,16
8/28/25 4:30:01 AM,C,16
8/28/25 4:40:01 AM,C,16
8/28/25 4:50:01 AM,C,16
8/28/25 5:00:01 AM,C,16
8/28/25 5:10:01 AM,C,16
8/28/25 5:20:01 AM,C,16
8/28/25 5:30:01 AM,C,16
8/28/25 5:40:01 AM,C,16
8/28/25 5:50:01 AM,C,16
8/28/25 6:00:01 AM,C,16
8/28/25 6:10:01 AM,C,16
8/28/25 6:20:01 AM,C,16.5
8/28/25 6:30:01 AM,C,16.5
8/28/25 6:40:01 AM,C,17
8/28/25 6:50:01 AM,C,17
8/28/25 7:00:01 AM,C,17
